reward,success
-49.863891661098776,0.0
-60.189013772836404,0.0
-46.07334033601363,0.0
-32.33931791803806,0.0
-36.38339187952374,0.0
-73.34305638374701,0.0
-67.20298257224324,0.0
-64.89581204465122,0.0
-61.77804791173122,0.0
-64.87587433899606,0.0
-43.131921909478926,0.0
-59.23315231847401,0.0
-57.20722472664749,0.0
-55.979763047200215,0.0
-38.898342862646416,0.0
-59.79852046077006,0.0
-43.51680806556803,0.0
-80.32857148086188,0.0
-66.26048824038308,0.0
-84.10038417786488,0.0
-69.19149151054695,0.0
-64.01246277619238,0.0
-51.84817450456407,0.0
-65.08743297255383,0.0
-63.71828270944831,0.0
-67.4069500010449,0.0
-71.32053427282248,0.0
-69.90412335748601,0.0
-35.19839645866971,0.0
-68.89488819058087,0.0
-55.33134666193773,0.0
-67.24141319852413,0.0
-69.70167916390938,0.0
-44.308530121206765,0.0
-47.5588188557071,0.0
-63.60571604423402,0.0
-53.103305811145674,0.0
-77.67796174505627,0.0
-72.60976809919728,0.0
-75.09606805969358,0.0
-46.02416471903385,0.0
-58.68164519045456,0.0
-42.5886204267834,0.0
-54.12449681631167,0.0
-73.35212869294658,0.0
-52.16087155774978,0.0
-51.250214792291224,0.0
-46.173398254046546,0.0
-65.77783567345688,0.0
-40.258552167780415,0.0
-49.57040498004615,0.0
-60.60460064343136,0.0
-64.78441095226022,0.0
-79.79258715880582,0.0
-54.29154438096362,0.0
-78.36498904712114,0.0
-39.50430338888162,0.0
-50.16466149777119,0.0
-53.198853098836594,0.0
-55.501003055079536,0.0
-47.822323018308886,0.0
-38.07403561008172,0.0
-62.89821222072492,0.0
-60.372987872571656,0.0
-68.2577824737915,0.0
-75.65716920623987,0.0
-48.43628442362274,0.0
-67.55039845325214,0.0
-80.00317703049213,0.0
-73.81129731380427,0.0
-62.43741850134589,0.0
-54.39316532554687,0.0
-58.71858715690367,0.0
-51.372582275380324,0.0
-60.6519486917893,0.0
-77.16039974463222,0.0
-56.629337736156714,0.0
-55.36827287694663,0.0
-62.864971938611184,0.0
-60.40427910371398,0.0
-57.62982933814117,0.0
-61.975298173954535,0.0
-57.86492771737057,0.0
-70.19354916139352,0.0
-56.8115763144446,0.0
-57.22022734402344,0.0
-92.93228880171581,0.0
-68.4835875834973,0.0
-54.145693487892956,0.0
-47.8684365768368,0.0
-45.86919787050871,0.0
-64.9616291372981,0.0
-51.01837680162571,0.0
-36.84780060161904,0.0
-49.225233306859835,0.0
-93.73754501845235,0.0
-83.67350249335401,0.0
-81.7334362998168,0.0
-62.48802612114434,0.0
-66.52852420818374,0.0
-39.872476001577354,0.0
-51.62123048375415,0.0
-53.31833341200008,0.0
-44.227953313868476,0.0
-47.088027586481914,0.0
-54.11243094440863,0.0
-35.07986426564301,0.0
-38.70874634639331,0.0
-46.582654445537855,0.0
-35.00411280943004,0.0
-26.87740458047637,0.0
-39.3912975630018,0.0
-34.172804793767924,0.0
-47.860505285544214,0.0
-27.506023298425006,0.0
-39.3409172636637,0.0
-45.56794678017717,0.0
-25.45878159989085,0.0
-34.22340428562963,0.0
-34.121217853973675,0.0
-22.434213194406123,0.0
-36.268591935441336,0.0
-29.73047414558064,0.0
-51.355902126604086,0.0
-19.67517454740324,0.0
-25.585858638102096,0.0
-26.9740029955735,0.0
-29.75344509926161,0.0
-21.0617191145963,0.0
-25.87650601686974,0.0
-24.07441967065211,0.0
-29.79339897383221,0.0
-24.899377906797124,0.0
-33.292175617211484,0.0
-21.612306510466198,0.0
-23.842495907431413,0.0
-23.80370942175364,0.0
-24.6040463859627,0.0
-25.918739792593545,0.0
-31.904177705025525,0.0
-25.047414704726187,0.0
-30.752121357344226,0.0
-37.247170600343956,0.0
-44.13906610871649,0.0
-25.891988180134135,0.0
-24.896758132558226,0.0
-40.24962551459247,0.0
-32.99323095898858,0.0
-21.27432111953236,0.0
-25.216741519629675,0.0
-26.84845241951411,0.0
-14.795732350918001,0.0
-35.53906952995195,0.0
-18.802712571383005,0.0
-20.817205190010984,0.0
-22.354453589870378,0.0
-22.085996092239643,0.0
-18.261409776510305,0.0
-20.46619622806983,0.0
-33.78192103245592,0.0
-29.707679036311855,0.0
-25.18836411174016,0.0
-25.926458239737467,0.0
-35.036073006444184,0.0
-24.83925998166244,0.0
-24.08543662996852,0.0
-23.373684407164518,0.0
-22.467057137969384,0.0
-17.413982708073405,0.0
-18.872422902832394,0.0
-19.093299373620756,0.0
-26.333869901245837,0.0
-20.06785682756011,0.0
-17.351163167028645,0.0
-17.034757205740206,0.0
-28.713377302407554,0.0
-29.713991539291328,0.0
-25.94958629344464,0.0
-29.19518005609724,0.0
-16.44083189678276,0.0
-18.275055718625264,0.0
-19.884838466391027,0.0
-24.261224914413777,0.0
-25.30682815326428,0.0
-33.283578204631,0.0
-27.58317562089457,0.0
-21.089986801159345,0.0
-22.25718925496474,0.0
-21.498782388646017,0.0
-18.525891346425244,0.0
-23.056026118831006,0.0
-18.92955044911912,0.0
-20.71307837499777,0.0
-20.39787917745646,0.0
-25.175533337797702,0.0
-16.801055219488127,0.0
-29.79936917261847,0.0
-19.500250885053855,0.0
-19.088243559673852,0.0
-16.4059071691001,0.0
-12.64322605125963,0.0
-18.977246897112995,0.0
-32.45064170982008,0.0
-22.041078243716427,0.0
-15.802683482282351,0.0
-21.827716622116245,0.0
-17.959521222424964,0.0
-10.173927392769077,0.0
-22.164147704029425,0.0
-25.4552808165512,0.0
-14.450214197640337,0.0
-13.04801360215315,0.0
-21.314927251424834,0.0
-13.532811864076455,0.0
-12.848884031831702,0.0
-14.81393195884483,0.0
-12.174093364487355,0.0
-18.023049957233525,0.0
-16.051643946353632,0.0
-14.4482164891192,0.0
-11.082609634431956,0.0
-15.683878243320622,0.0
-13.207225557378713,0.0
-15.940941672284183,0.0
-24.655564494868862,0.0
-16.583133688939316,0.0
-14.913174239117945,0.0
-16.579565867357665,0.0
-14.393617087968403,0.0
-51.43576736070498,0.0
-20.034989706397646,0.0
-11.044211538840454,1.0
-18.749274149849946,0.0
-25.717151347311866,0.0
-18.269285318110892,0.0
-16.089113494001648,0.0
-16.72735210208428,0.0
-13.051117852965842,0.0
-16.304971464223524,0.0
-16.559723964658044,0.0
-24.969381042802752,0.0
-15.53932848641265,0.0
-17.853860895955318,0.0
-9.85044784627144,0.0
-27.124789567088985,0.0
-22.632222664140187,0.0
-22.401718828871953,0.0
-15.483329508424813,0.0
-14.436350406281054,0.0
-10.364161381761608,0.0
-18.352161978113916,0.0
-11.339890904884454,0.0
-23.118256215495027,0.0
-26.389010031312196,0.0
-23.72922258506396,0.0
-16.463876963357404,0.0
-10.146543616658949,0.0
-29.177692380794475,0.0
-12.450352932607203,0.0
-11.586939035253787,0.0
-12.462821011903026,0.0
-12.253800865511428,0.0
-20.70042979348591,0.0
-14.180809252169206,0.0
-11.629480151643092,0.0
-9.900831264068614,1.0
-9.346246288617731,1.0
-11.031697605241538,0.0
-11.07430763380124,0.0
-29.10688288598584,0.0
-14.459204277415527,0.0
-11.271517111398701,0.0
-12.816514290936253,0.0
-11.823314684541062,0.0
-19.278154488524628,0.0
-29.25844997516498,0.0
-22.574750517475426,0.0
-8.410855007776966,0.0
-20.00682885213256,0.0
-12.219678143489379,0.0
-18.78256481567483,0.0
-11.03963723765694,0.0
-12.22904910582723,0.0
-17.195283752523896,0.0
-14.306030918954077,0.0
-14.142358354969002,0.0
-15.468248948188698,0.0
-9.50741302290953,1.0
-11.295533737834598,0.0
-10.812763952045987,0.0
-18.832409968659718,0.0
-8.809049285761766,0.0
-12.27512858866455,0.0
-11.917942884987525,0.0
-23.5179145876088,0.0
-10.591162365002134,0.0
-17.252273634609736,0.0
-27.011404439831587,0.0
-21.073170035175377,0.0
-17.287462660335173,0.0
-21.784870856155557,0.0
-6.9644865079772105,1.0
-7.4473112157275985,1.0
-10.570974463427264,0.0
-9.632382621576374,0.0
-28.641398517169783,0.0
-22.19236185853333,0.0
-17.755665731498496,0.0
-10.09846197117259,0.0
-13.079949869828793,0.0
-16.326595310947322,0.0
-8.505584958272943,0.0
-8.402888892889084,0.0
-9.75424592500998,0.0
-28.20791411274632,0.0
-12.306270566062773,0.0
-20.085994612524413,0.0
-17.445850645760355,0.0
-8.599958981374916,0.0
-14.796823370986488,0.0
-13.280833109564165,0.0
-9.904774988666242,0.0
-22.268967122150087,0.0
-14.446671593258799,0.0
-9.984148396063617,0.0
-17.775008359856173,0.0
-14.462633712438828,0.0
-9.731573730122921,1.0
-9.015199019267042,0.0
-11.857462350633563,0.0
-19.973849524084986,0.0
-8.643582827712924,0.0
-12.236281256367427,0.0
-8.321623190623477,1.0
-10.141661066026952,0.0
-25.141630711685444,0.0
-7.436314345909451,0.0
-9.130946912955409,0.0
-21.497323744113473,0.0
-16.210941487062602,0.0
-8.295189071366234,1.0
-32.21243970295609,0.0
-8.819088231164674,1.0
-19.614373177853242,0.0
-8.893059012872559,1.0
-12.46434011736423,0.0
-10.18846176826252,1.0
-17.326232553645365,0.0
-12.640183542814862,0.0
-9.606363343344404,1.0
-23.6741768641093,0.0
-9.185185364085703,0.0
-20.59301741147373,0.0
-11.332682710192643,0.0
-14.186756658869006,0.0
-22.182675059551197,0.0
-11.871202848258056,0.0
-15.102479345357622,0.0
-7.476451761451202,0.0
-22.85167071585528,0.0
-11.489867993801019,0.0
-8.883335475500209,0.0
-14.62192868343573,0.0
-15.807053983922886,0.0
-13.064478821839652,0.0
-26.98623087058727,0.0
-13.215621568119502,0.0
-19.845378487146437,0.0
-9.967581040597072,0.0
-11.221849237456382,0.0
-15.191944319025337,0.0
-9.366175145993386,0.0
-24.90130685260244,0.0
-8.378673187121482,1.0
-18.5718622016668,0.0
-8.925323515410108,0.0
-9.336764533128632,1.0
-8.524696653176102,0.0
-9.982705268768681,0.0
-14.135520386675884,0.0
-35.227088520331336,0.0
-7.750110343557704,1.0
-7.653127944926824,0.0
-11.772418931128794,0.0
-11.961552536261568,0.0
-17.33225850775921,0.0
-18.349852969306497,0.0
-16.626542158929293,0.0
-8.666171242415166,0.0
-11.14502429496231,0.0
-7.782622965248121,0.0
-7.883554660971106,1.0
-16.74508235759541,0.0
-7.1513916326462015,1.0
-13.496788337978941,0.0
-9.028080989813034,0.0
-24.766147998852823,0.0
-9.644626723405112,0.0
-8.56296234568863,0.0
-18.4187321749742,0.0
-19.215118306928805,0.0
-29.833032760664853,0.0
-12.79822973544278,0.0
-10.564003933069591,0.0
-26.554321080862746,0.0
-21.88614060456123,0.0
-15.70013156460729,0.0
-7.383196998938759,0.0
-8.656996272000454,1.0
-7.40373369122001,1.0
-11.91579327029643,0.0
-14.882821687597689,0.0
-10.033452769045956,1.0
-6.564597463243581,1.0
-9.832473866184628,0.0
-20.545024918760845,0.0
-19.341748690098463,0.0
-20.826465110011736,0.0
-8.385214450750851,1.0
-13.236715329165952,0.0
-20.22924642730514,0.0
-7.355795676449637,1.0
-28.599289857834556,0.0
-7.726653406897141,0.0
-20.48403355389359,0.0
-22.308719805690668,0.0
-16.494012281288665,0.0
-8.66028324934801,0.0
-12.960781872860636,0.0
-12.19834507917762,0.0
-14.37365762125002,0.0
-18.129089065804866,0.0
-7.085020939503337,1.0
-22.924539635463383,0.0
-28.33637622273859,0.0
-14.500896298984882,0.0
-11.108234333015778,0.0
-14.750559084818304,0.0
-7.293518808984082,1.0
-15.279071123549114,0.0
-11.456477983242392,0.0
-16.587982813110496,0.0
-10.534641838887433,0.0
-6.17194247264516,1.0
-19.977831020581338,0.0
-7.9780868008875245,0.0
-11.368983790769978,0.0
-8.57465994327168,1.0
-7.154580903167439,1.0
-6.8712317036946535,1.0
-9.293150321400566,0.0
-17.623085175668685,0.0
-12.54830939776702,0.0
-31.301436317612712,0.0
-20.498518896924878,0.0
-30.08176056613214,0.0
-16.851546573172314,0.0
-8.244582358357668,1.0
-11.920740908525476,0.0
-10.55971630788984,0.0
-21.900538740090997,0.0
-15.144208504623741,0.0
-7.142804785966435,1.0
-6.41194642461827,1.0
-7.975032268040995,1.0
-9.29617510597421,0.0
-29.862541158175574,0.0
-9.074088243129635,1.0
-10.246117658516294,1.0
-8.136452805458573,1.0
-20.64004059645855,0.0
-7.233726294031316,0.0
-10.087278220111383,0.0
-19.606486315359547,0.0
-11.64087069428155,0.0
-16.643420970243028,0.0
-6.99849012140855,1.0
-8.416660147616293,1.0
-23.582208637365603,0.0
-13.321423551088104,0.0
-8.385977275567624,1.0
-19.054477807263495,0.0
-7.425961359760862,1.0
-22.27706930612864,0.0
-28.609816758923994,0.0
-6.393350698298112,0.0
-13.438603500788446,0.0
-14.834633362433134,0.0
-8.35568813080292,1.0
-10.601319121325593,0.0
-14.37051974431229,0.0
-15.095913393088646,0.0
-7.104234731387186,0.0
-21.522055646977904,0.0
-15.301840538241004,0.0
-15.24094956518162,0.0
-31.65650648269956,0.0
-14.764168548298048,0.0
-6.437105810635874,1.0
-14.343131721619319,0.0
-22.871250292371816,0.0
-10.452580758084176,0.0
-17.273132935645823,0.0
-10.620791143635257,1.0
-12.93304042839985,0.0
-20.071297685696535,0.0
-17.55368197838353,0.0
-6.333546781278857,0.0
-12.173274494047275,0.0
-6.757762644377211,1.0
-10.70229125734913,0.0
-9.865603997942246,0.0
-23.310622066152888,0.0
-11.34164954774862,0.0
-7.556174803477133,1.0
-6.224437241677717,1.0
-6.657134120900394,0.0
-15.126107631491083,0.0
-7.754264367810419,1.0
-10.925537584289536,0.0
-12.898557604570053,0.0
-33.16253943203185,0.0
-6.5984911706097025,1.0
-12.8312099364977,0.0
-5.743854395967955,1.0
-23.260964902691736,0.0
-15.197088314038876,0.0
-14.383790298563955,0.0
-7.475064576789445,1.0
-17.463070510903023,0.0
-6.639770431640004,1.0
-6.397460911128689,1.0
-7.0022195017225854,0.0
-31.135898174497925,0.0
-12.118291308211717,0.0
-24.554392255769386,0.0
-6.904961481466481,0.0
-6.188262015277735,1.0
-7.080719166676062,1.0
-35.23915513199053,0.0
-9.006125938970143,0.0
-8.33056548191893,1.0
-12.338122192098815,0.0
-19.933515680534764,0.0
-11.460893338171143,0.0
-13.847080082886912,0.0
-28.188243674412686,0.0
-8.870389299918651,1.0
-16.435224581451884,0.0
-6.61997674568715,1.0
-10.717775007857004,0.0
-19.486525888540235,0.0
-16.111000905298333,0.0
-6.6977229029164596,0.0
-17.304115145785765,0.0
-8.788935360757723,1.0
-6.494661718107776,0.0
-22.052549190374826,0.0
-12.200250056114179,0.0
-9.375551474101353,0.0
-10.462595820356334,0.0
-16.02161727209782,0.0
-7.8536937319657385,1.0
-7.642118579249502,1.0
-14.682311697703776,0.0
-20.995506959579306,0.0
-14.843736063045425,0.0
-6.790853946859032,0.0
-17.555492593155275,0.0
-14.459770526267622,0.0
-9.583202994516189,0.0
-13.092933363414415,0.0
-12.252053989402752,0.0
-29.47379823801529,0.0
-14.118054062083312,0.0
-16.54139454259284,0.0
-7.351077865067129,1.0
-24.07840653630782,0.0
-17.70249860211827,0.0
-13.345353532318516,0.0
-8.898468811923966,1.0
-7.4399010560944685,0.0
-12.337359320376542,0.0
-10.124010776810664,0.0
-6.591644230204299,0.0
-8.059100773960546,0.0
-19.627506607514412,0.0
-24.271404029987632,0.0
-7.670279154755807,0.0
-6.3151310389340365,0.0
-23.50913216734488,0.0
-7.514045984581135,1.0
-7.947825546736365,1.0
-15.83028368965527,0.0
-8.043090555181072,0.0
-18.66318415289794,0.0
-16.292618395340863,0.0
-30.70370457335733,0.0
-13.838320396026509,0.0
-7.030342606095556,1.0
-16.628031500428566,0.0
-6.852757652208342,1.0
-15.486887082238148,0.0
-22.46444708943291,0.0
-14.979803355333848,0.0
-17.673106151157118,0.0
-16.813856267560308,0.0
-22.217219767899,0.0
-9.101075578895964,1.0
-12.266347427675036,0.0
-21.441661800607218,0.0
-9.58766250371448,0.0
-18.332122574738033,0.0
-7.272004656179565,0.0
-13.217672491758371,0.0
-8.007715959902129,1.0
-17.84238242520238,0.0
-8.042873689128236,0.0
-6.298230943826475,0.0
-6.707936764074392,0.0
-12.256139699257561,0.0
-7.313431939454316,1.0
-17.71419419139266,0.0
-21.264143278223056,0.0
-10.881329186838283,0.0
-19.29806477003473,0.0
-23.01866186044512,0.0
-6.414520370137776,1.0
-14.39912768998637,0.0
-6.770065150731545,0.0
-14.44392889426564,0.0
-7.103992289030058,0.0
-6.235589919047623,0.0
-5.954057701314693,1.0
-10.206358486579889,0.0
-9.100811481241925,0.0
-24.861338206933198,0.0
-21.78364126115363,0.0
-8.082900180863122,1.0
-10.231262289131385,0.0
-16.9772420153038,0.0
-15.570972604377316,0.0
-10.047004188534222,0.0
-6.961551237746705,1.0
-6.739495342903388,0.0
-28.677933914298542,0.0
-8.357989993835545,0.0
-10.338081687528687,0.0
-15.736148972839054,0.0
-5.928778365233038,1.0
-9.512993090705995,1.0
-12.538328706273193,0.0
-22.61982180902039,0.0
-7.64063250196708,0.0
-9.473380648150275,0.0
-6.463571122785985,0.0
-8.31800490880964,0.0
-6.86206660557626,0.0
-14.451113224033435,0.0
-9.002629015107741,0.0
-9.258053097597735,0.0
-6.6129064340471135,1.0
-6.580559795879455,0.0
-7.13137370334306,1.0
-24.356019330674442,0.0
-14.488239412469623,0.0
-8.660259425342895,0.0
-10.490723852603546,0.0
-21.266214208004083,0.0
-9.858742366804483,0.0
-7.951694666266342,1.0
-13.312591822350331,0.0
-8.091264806450422,1.0
-13.47871179189976,0.0
-27.431921803163654,0.0
-20.335270668297728,0.0
-10.869134213989689,0.0
-26.40976835056876,0.0
-19.432326226067534,0.0
-8.845236839564937,1.0
-13.628722945973065,0.0
-14.175882179222912,0.0
-12.15899908301423,0.0
-6.147910723127025,0.0
-6.725976842365321,0.0
-14.070712631651629,0.0
-12.836266168228732,0.0
-6.015923256358408,0.0
-12.732322188728155,0.0
-7.255162860714872,1.0
-6.734278453573341,1.0
-10.302235579485215,0.0
-6.461515320641151,1.0
-12.832782020743476,0.0
-8.96011686716246,0.0
-6.834679303254529,1.0
-11.379305789811701,0.0
-8.843281913195653,1.0
-7.890563155379486,1.0
-11.330562296068246,0.0
-9.113827697281497,0.0
-7.895530177085095,1.0
-7.378655323890331,0.0
-18.540880024987697,0.0
-7.209402197158822,0.0
-11.830881583561183,0.0
-15.994112575055643,0.0
-13.258374707793086,0.0
-12.37232033986106,0.0
-13.427394407996166,0.0
-14.466442753638338,0.0
-10.865405361107996,0.0
-9.696862171623374,0.0
-13.302758249394827,0.0
-7.221319614437893,0.0
-13.247717528330819,0.0
-13.528739762793947,0.0
-10.932218586846853,0.0
-7.284039427381771,1.0
-22.427008128422887,0.0
-17.06254209313276,0.0
-10.861081355286007,0.0
-6.737575549485324,1.0
-23.94046148769575,0.0
-9.107703835521304,1.0
-27.782461776637913,0.0
-23.57465057626724,0.0
-8.151211602948543,1.0
-9.604858796430575,1.0
-7.042013245272766,1.0
-12.441676374172308,0.0
-21.06125064471752,0.0
-19.28215356255274,0.0
-18.51159842251379,0.0
-10.60259501802114,0.0
-15.590638968615142,0.0
-19.806853642183516,0.0
-11.848398259169576,0.0
-7.8836993512495885,1.0
-15.748779329339671,0.0
-8.596298621246381,0.0
-22.617284527428012,0.0
-12.748353859217888,0.0
-12.101667367619205,0.0
-8.289601846512374,0.0
-7.345996726229401,1.0
-21.08447793323239,0.0
-12.247118014099216,0.0
-25.739787534240016,0.0
-22.883473459744565,0.0
-7.948129471005783,0.0
-7.602531979420783,1.0
-20.914277682858717,0.0
-25.550796509954452,0.0
-28.98861713597779,0.0
-25.241683706341437,0.0
-19.046956095371744,0.0
-18.57553864355126,0.0
-8.82085648448122,0.0
-6.79423365077353,1.0
-6.659363265461356,0.0
-8.588362279683242,1.0
-16.160442040422847,0.0
-10.114009782349378,0.0
-22.168599275456824,0.0
-12.17161075550264,0.0
-7.411534136437592,1.0
-7.764672173904287,1.0
-9.257873087747571,1.0
-27.764233994539495,0.0
-8.408173835663094,0.0
-13.58954326004021,0.0
-7.042688917829187,0.0
-13.12854825007714,0.0
-6.378201951113147,1.0
-8.59190667305385,1.0
-6.9079676553921985,0.0
-8.310704972635682,1.0
-13.08451555591976,0.0
-9.521923549905823,0.0
-16.89580894080054,0.0
-19.803492458859616,0.0
-7.419386063404138,0.0
-20.220547365644318,0.0
-20.37346625749414,0.0
-13.513312105237775,0.0
-7.149252777149014,1.0
-17.254253380667024,0.0
-9.45145786978677,0.0
-9.20116016593158,0.0
-15.413619311178063,0.0
-12.693612914667167,0.0
-6.898710153677849,0.0
-8.170055785260699,1.0
-17.69169488906114,0.0
-7.676161031692944,0.0
-10.34203836457229,0.0
-25.93895148532108,0.0
-6.8627180888686485,1.0
-6.61019147974337,1.0
-7.1426873451760216,1.0
-13.561048287678512,0.0
-10.589827138851588,0.0
-20.549371620533154,0.0
-9.925098222207824,0.0
-7.733099686948748,1.0
-10.701590883936854,0.0
-16.636602710271532,0.0
-8.55729781099863,0.0
-7.145154335662275,1.0
-8.089590535554924,1.0
-8.682363838810662,1.0
-16.829581654857922,0.0
-7.6691772746737605,1.0
-9.604605439928676,0.0
-8.310414439117242,1.0
-20.37700628272969,0.0
-8.506387682514353,1.0
-10.86276998223886,0.0
-8.686052250188826,0.0
-8.05815859834215,1.0
-30.876007382340834,0.0
-8.835995335908494,0.0
-7.096746490974705,1.0
-6.718098649528009,0.0
-7.061433517274061,1.0
-7.816663941973544,1.0
-27.789527141819068,0.0
-26.265103122775564,0.0
-7.775315522705004,0.0
-29.38331588028932,0.0
-9.963245570040094,0.0
-13.653406432657384,0.0
-17.583651715600812,0.0
-7.1386984394464745,1.0
-13.993429297710577,0.0
-16.228262104575194,0.0
-6.77577498600071,0.0
-10.891356593638,0.0
-22.06481607427156,0.0
-13.718452333560764,0.0
-8.79783503886017,1.0
-23.836131279317556,0.0
-23.36913779756191,0.0
-6.601132036806181,1.0
-9.25028028538241,1.0
-10.721023156093514,0.0
-15.459616148806813,0.0
-24.963901778497835,0.0
-15.953451153472878,0.0
-10.577456161628811,0.0
-23.455485907720636,0.0
-11.981843362749087,0.0
-9.518570312029112,1.0
-14.61391681220777,0.0
-12.589517701931682,0.0
-8.597746190790438,1.0
-6.442457925470777,1.0
-14.70836511562003,0.0
-10.570265715900694,0.0
-17.552569082913774,0.0
-6.231465436660555,0.0
-9.37994834620439,0.0
-9.373090259127727,0.0
-30.198861906528055,0.0
-6.130243846993257,0.0
-13.138662357064142,0.0
-13.972633346235275,0.0
-13.560722561607683,0.0
-7.933142095190884,0.0
-8.073661975335952,1.0
-6.863041611506511,1.0
-26.49979737589656,0.0
-16.53025161054113,0.0
-8.50024031966554,1.0
-7.805180768390725,1.0
-25.341706857308292,0.0
-9.887770103485385,0.0
-16.22019357363524,0.0
-12.51278827684856,0.0
-10.249302026758114,1.0
-10.318958634430638,0.0
-15.532883062123732,0.0
-10.953596506428514,0.0
-13.06571931833157,0.0
-8.497197014779111,0.0
-6.377672150968747,1.0
-20.40168738856497,0.0
-15.702907563366868,0.0
-16.634545016225953,0.0
-12.220805242906538,0.0
-9.467458702033559,0.0
-6.931388956154613,0.0
-6.514828085496561,1.0
-21.675348948573703,0.0
-7.922051887314872,0.0
-17.389262652970334,0.0
-8.303679875325642,0.0
-7.195477536788245,1.0
-20.687442013925782,0.0
-16.32208748488652,0.0
-17.983950609448428,0.0
-10.475007247418302,0.0
-12.456570602756218,0.0
-12.051233811468697,0.0
-7.190116352482521,0.0
-16.892318387790073,0.0
-28.5337380305409,0.0
-19.664252166716864,0.0
-6.8186370225663735,0.0
-15.325886064885744,0.0
-17.788085729939755,0.0
-17.792548382346347,0.0
-6.903803384408303,0.0
-22.0834493195968,0.0
-12.907027813923365,0.0
-11.464447260475655,0.0
-26.165716867241912,0.0
-21.437410900799506,0.0
-11.443382224034087,0.0
-21.33559950955868,0.0
-6.919862170464624,0.0
-22.45784809853257,0.0
-6.856681518093553,0.0
-7.289466598089692,0.0
-12.146731041134322,0.0
-20.674377863384358,0.0
-6.958834875604376,1.0
-12.792650591934345,0.0
-21.97972924290751,0.0
-7.99855033606017,1.0
-15.836300801940125,0.0
-14.861306793608591,0.0
-5.9669708305077105,1.0
-12.799160049639065,0.0
-8.186282275772516,1.0
-16.733755724003537,0.0
-9.311104353239616,1.0
-20.392285421573913,0.0
-23.75737000777078,0.0
-21.279856026109822,0.0
-10.875640676454655,0.0
-21.423879499866285,0.0
-6.2029692279510105,1.0
-7.026082273422256,1.0
-22.6525297938119,0.0
-4.674228335414379,1.0
-16.44058036427689,0.0
-6.567276672108545,1.0
-13.52108852076952,0.0
-29.507965584415263,0.0
-9.442988126411535,0.0
-16.813468369322667,0.0
-8.248461702244903,1.0
-10.491188419969298,1.0
-7.065515969599843,1.0
-6.235854158422125,1.0
-9.300182931831438,0.0
-9.898062674857346,0.0
-8.520662833652045,1.0
-21.722360446322753,0.0
-7.854835529278897,1.0
-7.339616373459243,1.0
-8.446320441125142,0.0
-8.754536971400368,0.0
-8.887970633158412,0.0
-21.575026816154267,0.0
-5.620763128710959,1.0
-6.65936378825919,1.0
-7.347640557824607,1.0
-18.36798866613772,0.0
-8.94137034347634,0.0
-15.081778402145536,0.0
-17.03458357647065,0.0
-10.62261466691373,0.0
-13.155701801510673,0.0
-25.004025193530982,0.0
-13.681307169911404,0.0
-9.40361745262697,0.0
-12.634341269596622,0.0
-14.083933890766355,0.0
-24.860567549512425,0.0
-14.50439501904999,0.0
-11.450537663057236,0.0
-9.855197098694228,0.0
-15.267153280050387,0.0
-7.112211279516393,0.0
-6.0811354368212465,0.0
-20.8030404495156,0.0
-18.11742256317951,0.0
-22.20417978750975,0.0
-6.333837411792172,1.0
-8.555445000102948,1.0
-9.716862361299325,0.0
-16.646096554728274,0.0
-16.120328259775444,0.0
-13.02308445951644,0.0
-6.030610619992609,0.0
-15.17324024539545,0.0
